1,11.7375,0.788,0.622,02:35:59
2,11.8125,1.636,1.3585,02:36:03
3,11.825,0.739,0.66525,02:36:07
4,11.775,0.223,0.06775,02:36:11
5,11.7875,0.696,0.50225,02:36:15
6,11.8375,0.254,0.0545,02:36:19
7,11.1,0.274,0.0655,02:36:23
8,11.7625,0.959,0.905,02:36:28
9,11.8125,0.55,0.31225,02:36:32
10,11.725,0.251,0.0235,02:36:36
11,11.8375,0.275,0.03575,02:36:40
12,11.75,2.454,1.06375,02:36:44
13,11.775,0.979,0.9205,02:36:48
14,11.7875,1.463,1.40475,02:36:52
15,11.8375,0.609,0.49175,02:36:56
16,11.7625,1.014,0.76275,02:37:00
17,11.7625,1.604,0.612,02:37:04
18,11.5125,1.824,1.48325,02:37:08
19,11.7875,0.272,0.01825,02:37:12
20,11.8,0.863,0.94525,02:37:17
21,11.7125,0.949,1.011,02:37:21
22,11.8875,1.32,1.6345,02:37:25
23,11.825,0.268,0.045,02:37:29
24,11.8125,0.911,0.97575,02:37:33
25,11.575,2.283,0.98975,02:37:37
26,11.6375,0.933,0.968,02:37:41
27,11.75,1.118,1.2075,02:37:45
28,11.8,0.28,0.0345,02:37:49
29,11.85,0.678,0.60225,02:37:53
30,11.825,0.712,0.4705,02:37:57
31,11.8625,0.241,0.02375,02:38:01
32,11.725,0.434,0.26925,02:38:06
33,11.7875,0.371,0.1465,02:38:10
34,11.875,0.326,0.0495,02:38:14
35,11.65,0.979,0.96075,02:38:18
36,11.7875,0.587,0.33175,02:38:22
37,11.8125,1.02,0.95525,02:38:26
38,11.75,0.731,0.65575,02:38:30
39,11.75,1.016,0.97725,02:38:34
40,11.75,0.373,0.258,02:38:38
41,11.6375,0.876,0.95725,02:38:42
42,11.575,1.068,0.89625,02:38:46
43,11.8125,0.442,0.176,02:38:51
44,11.725,0.99,0.97175,02:38:55
45,11.8,0.697,0.65175,02:38:59
46,11.775,1.41,1.212,02:39:03
47,11.675,0.926,0.943,02:39:07
48,11.825,0.284,0.079,02:39:11
49,11.7375,0.372,0.14875,02:39:15
50,11.85,0.258,0.02775,02:39:19
51,11.775,0.22,0.0265,02:39:23
52,11.7,0.895,0.94725,02:39:28
53,11.7125,0.283,0.0105,02:39:32
54,11.825,0.279,0.0605,02:39:36
55,11.75,0.348,0.11075,02:39:40
56,11.85,1.569,1.30775,02:39:44
57,11.8375,0.501,0.455,02:39:48
58,11.1375,1.261,1.011,02:39:52
59,11.8875,2.65,2.292,02:39:56
60,11.85,0.952,0.98,02:40:00
61,11.825,1.261,1.52375,02:40:04
62,11.6625,0.611,0.355,02:40:08
63,11.775,0.418,0.22975,02:40:12
64,11.7875,0.285,0.051,02:40:17
65,11.7625,1.363,1.5195,02:40:21
66,11.7625,0.408,0.20825,02:40:25
67,11.7875,2.164,0.983,02:40:29
68,11.7875,0.81,0.58175,02:40:33
69,11.7875,0.814,0.584,02:40:37
70,11.575,0.733,0.4215,02:40:41
71,11.8375,0.563,0.3845,02:40:45
72,11.7125,0.297,0.023,02:40:50
73,11.7875,0.993,0.934,02:40:54
74,11.0125,1.823,2.29275,02:40:58
75,11.5625,2.503,3.2,02:41:02
76,11.825,0.957,0.67525,02:41:06
77,11.6625,0.432,0.17175,02:41:10
78,11.7875,1.732,1.505,02:41:14
79,11.8125,1.762,1.08425,02:41:18
80,11.725,0.505,0.33725,02:41:22
81,11.775,1.148,1.281,02:41:26
82,11.8625,0.499,0.2715,02:41:30
83,11.8125,3.113,4.14375,02:41:34
84,11.7125,1.547,1.94775,02:41:39
85,11.7125,1.111,0.99975,02:41:43
86,11.825,1.036,0.95825,02:41:47
87,11.8,0.873,0.95825,02:41:51
